lorem: (lore)
ipsum: (ipsu)
dolor: (dolo)
sit: (sit)
amet: (amet)
consectetuer: (cons)
adipiscing: (adip)
elit: (elit)
fusce: (fusc)
aliquam: (aliq)
vestibulum: (vest)
sed: (sed)
convallis: (conv)
magna: (magn)
eu: (eu)
sem: (sem)
mauris: (maur)
dictum: (dict)
facilisis: (faci)
augue: (augu)
risus: (risu)
a: (a)
nunc: (nunc)
curabitur: (cura)
vitae: (vita)
diam: (diam)
non: (non)
enim: (enim)
interdum: (inte)
aenean: (aene)
fermentum: (ferm)
id: (id)
tortor: (tort)
suscipit: (susc)
ligula: (ligu)
pharetra: (phar)
semper: (semp)
nibh: (nibh)
ante: (ante)
cursus: (curs)
purus: (puru)
vel: (vel)
sagittis: (sagi)
velit: (veli)
metus: (metu)
erat: (erat)
volutpat: (volu)
praesent: (prae)
justo: (just)
in: (in)
neque: (nequ)
elementum: (elem)
ultrices: (ultr)
duis: (duis)
viverra: (vive)
nullam: (null)
rhoncus: (rhon)
etiam: (etia)
bibendum: (bibe)
eget: (eget)
integer: (inte)
rutrum: (rutr)
orci: (orci)
ullamcorper: (ulla)
ultricies: (ultr)
lacus: (lacu)
quam: (quam)
odio: (odio)
placerat: (plac)
pede: (pede)
morbi: (morb)
imperdiet: (impe)
ac: (ac)
auctor: (auct)
nisl: (nisl)
egestas: (eges)
nulla: (null)
et: (et)
sollicitudin: (soll)
porttitor: (port)
accumsan: (accu)
pellentesque: (pell)
habitant: (habi)
tristique: (tris)
senectus: (sene)
netus: (netu)
malesuada: (male)
fames: (fame)
turpis: (turp)
quisque: (quis)
porta: (port)
gravida: (grav)
vehicula: (vehi)
congue: (cong)
faucibus: (fauc)
mi: (mi)
quis: (quis)
nec: (nec)
proin: (proi)
tellus: (tell)
dignissim: (dign)
felis: (feli)
maecenas: (maec)
lectus: (lect)
condimentum: (cond)
leo: (leo)
lacinia: (laci)
feugiat: (feug)
at: (at)
pulvinar: (pulv)
vulputate: (vulp)
libero: (libe)
eleifend: (elei)
nonummy: (nonu)
phasellus: (phas)
molestie: (mole)
tincidunt: (tinc)
massa: (mass)
arcu: (arcu)
cras: (cras)
dapibus: (dapi)
pretium: (pret)
tempor: (temp)
sapien: (sapi)
ornare: (orna)
lobortis: (lobo)
fringilla: (frin)
autem: (aute)
eum: (eum)
iure: (iure)
reprehenderit: (repr)
qui: (qui)
ea: (ea)
voluptate: (volu)
esse: (esse)
nihil: (nihi)
molestiae: (mole)
consequatur: (cons)
illum: (illu)
dolorem: (dolo)
fugiat: (fugi)
quo: (quo)
voluptas: (volu)
pariatur: (pari)
donec: (done)
iaculis: (iacu)
rerum: (reru)
ut: (ut)
aut: (aut)
nam: (nam)
ad: (ad)
minim: (mini)
veniam: (veni)
nostrud: (nost)
exercitation: (exer)
ullamco: (ulla)
laboris: (labo)
nisi: (nisi)
aliquip: (aliq)
ex: (ex)
commodo: (comm)
consequat: (cons)
tempore: (temp)
cum: (cum)
soluta: (solu)
nobis: (nobi)
est: (est)
eligendi: (elig)
optio: (opti)
cumque: (cumq)
impedit: (impe)
minus: (minu)
quod: (quod)
maxime: (maxi)
placeat: (plac)
facere: (face)
possimus: (poss)
omnis: (omni)
assumenda: (assu)
repellendus: (repe)
voluptatem: (volu)
sunt: (sunt)
hendrerit: (hend)
tempus: (temp)
sociis: (soci)
natoque: (nato)
penatibus: (pena)
magnis: (magn)
dis: (dis)
parturient: (part)
montes: (mont)
nascetur: (nasc)
ridiculus: (ridi)
mus: (mus)
dui: (dui)
wisi: (wisi)
sint: (sint)
scelerisque: (scel)
nemo: (nemo)
ipsam: (ipsa)
quia: (quia)
aspernatur: (aspe)
odit: (odit)
fugit: (fugi)
consequuntur: (cons)
magni: (magn)
dolores: (dolo)
eos: (eos)
ratione: (rati)
sequi: (sequ)
nesciunt: (nesc)
posuere: (posu)
vivamus: (viva)
venenatis: (vene)
suspendisse: (susp)
class: (clas)
aptent: (apte)
taciti: (taci)
sociosqu: (soci)
litora: (lito)
torquent: (torq)
per: (per)
conubia: (conu)
nostra: (nost)
inceptos: (ince)
hymenaeos: (hyme)
harum: (haru)
quidem: (quid)
facilis: (faci)
expedita: (expe)
distinctio: (dist)
aliquet: (aliq)
temporibus: (temp)
quibusdam: (quib)
officiis: (offi)
debitis: (debi)
necessitatibus: (nece)
saepe: (saep)
eveniet: (even)
voluptates: (volu)
repudiandae: (repu)
recusandae: (recu)
